artist,1000647,1001440,1007308,1009943,1017610,1021501,1021940,1024631,1026084,1029563,1031009,1035511,1041919,1042223,1046559,1047812,1048402,1052054,1052461,1055449,1058890,1059245,1059334,1059637,1059765,1063644,1070641,1070932,1072684,1073421,1076906,2000668,2005710,2007381,2010008,2010581,2014936,2017397,2020513,2023686,2023742,2023977,2030069,2062243,2064012,2069337,2069889,2070757,2102019,2288164
1,,,,,376.0,,,,590.0,125.0,4.0,,334.0,,147.0,,53.0,,3481.0,,3.0,,,,,331.0,,,100.0,,,,,,27.0,,,,,49.0,,,,22.0,,,,,22.0,4006.0
2,,1541.0,,,,,,66.0,1166.0,310.0,436.0,,1578.0,,155.0,,62.0,416.0,,,,324.0,,3.0,26.0,1535.0,115.0,,218.0,,,,,,,,68.0,,846.0,24.0,,,168.0,,,,,,,
3,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,24.0,,,,,,1.0,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,48.0,,,,,3.0,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,
11,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,82.0,307.0,,,,,42.0,,,,,123.0,,,,,,617.0,,,,,,,,,,,,,,16.0,,,,,,,,,,
15,,956.0,,,38.0,,,6.0,36.0,125.0,1127.0,14.0,597.0,,63.0,,39.0,,,,14.0,36.0,,,,729.0,,,284.0,,,,,,206.0,,,,,28.0,,,1118.0,,,,,,,3716.0
16,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.0,185.0,,,,,25.0,3.0,,1.0,,,,,21.0,,,,,,,1.0,,,,,,,,,,,,,92.0,,,,,33.0,,,,,,,,,,
21,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
